subno,loss,gain,response,condition,resp
1,5,10,waccept,"40.20",1
1,5,12,waccept,"40.20",1
1,5,14,wreject,"40.20",0
1,5,16,waccept,"40.20",1
1,5,18,sreject,"40.20",0
1,5,20,sreject,"40.20",0
1,5,22,waccept,"40.20",1
1,5,24,sreject,"40.20",0
1,5,26,waccept,"40.20",1
1,5,28,wreject,"40.20",0
1,5,30,wreject,"40.20",0
1,5,32,waccept,"40.20",1
1,5,34,sreject,"40.20",0
1,5,36,sreject,"40.20",0
1,5,38,sreject,"40.20",0
1,5,40,wreject,"40.20",0
1,6,10,waccept,"40.20",1
1,6,12,waccept,"40.20",1
1,6,14,sreject,"40.20",0
1,6,16,wreject,"40.20",0
1,6,18,waccept,"40.20",1
1,6,20,sreject,"40.20",0
1,6,22,waccept,"40.20",1
1,6,24,waccept,"40.20",1
1,6,26,sreject,"40.20",0
1,6,28,waccept,"40.20",1
1,6,30,sreject,"40.20",0
1,6,32,wreject,"40.20",0
1,6,34,wreject,"40.20",0
1,6,36,sreject,"40.20",0
1,6,38,waccept,"40.20",1
1,6,40,sreject,"40.20",0
1,7,10,wreject,"40.20",0
1,7,12,wreject,"40.20",0
1,7,14,wreject,"40.20",0
1,7,16,sreject,"40.20",0
1,7,18,sreject,"40.20",0
1,7,20,sreject,"40.20",0
1,7,22,sreject,"40.20",0
1,7,24,sreject,"40.20",0
1,7,26,wreject,"40.20",0
1,7,28,wreject,"40.20",0
1,7,30,sreject,"40.20",0
1,7,32,waccept,"40.20",1
1,7,34,wreject,"40.20",0
1,7,36,wreject,"40.20",0
1,7,38,waccept,"40.20",1
1,7,40,sreject,"40.20",0
1,8,10,waccept,"40.20",1
1,8,12,sreject,"40.20",0
1,8,14,wreject,"40.20",0
1,8,16,sreject,"40.20",0
1,8,18,wreject,"40.20",0
1,8,20,sreject,"40.20",0
1,8,22,sreject,"40.20",0
1,8,24,waccept,"40.20",1
1,8,26,waccept,"40.20",1
1,8,28,sreject,"40.20",0
1,8,30,sreject,"40.20",0
1,8,32,sreject,"40.20",0
1,8,34,sreject,"40.20",0
1,8,36,wreject,"40.20",0
1,8,38,waccept,"40.20",1
1,8,40,sreject,"40.20",0
1,9,10,waccept,"40.20",1
1,9,12,wreject,"40.20",0
1,9,14,sreject,"40.20",0
1,9,16,sreject,"40.20",0
1,9,18,wreject,"40.20",0
1,9,20,waccept,"40.20",1
1,9,22,waccept,"40.20",1
1,9,24,waccept,"40.20",1
1,9,26,wreject,"40.20",0
1,9,28,sreject,"40.20",0
1,9,30,wreject,"40.20",0
1,9,32,waccept,"40.20",1
1,9,34,sreject,"40.20",0
1,9,36,waccept,"40.20",1
1,9,38,waccept,"40.20",1
1,9,40,waccept,"40.20",1
1,10,10,waccept,"40.20",1
1,10,12,wreject,"40.20",0
1,10,14,sreject,"40.20",0
1,10,16,sreject,"40.20",0
1,10,18,wreject,"40.20",0
1,10,20,wreject,"40.20",0
1,10,22,sreject,"40.20",0
1,10,24,waccept,"40.20",1
1,10,26,waccept,"40.20",1
1,10,28,sreject,"40.20",0
1,10,30,sreject,"40.20",0
